Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,937,0,4,6.87545955070542,1.3713020002796839,49.24540000001798,27.0,3.1235607171361677,0.0,4,7,8,8,17,23,33,40,49,49,49
GET,/api/recurso-detalhe/1,2,0,3.010422999977891,3.8718714999959047,3.010422999977891,4.733320000013919,23.0,0.006667152010963005,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/api/recurso-detalhe/10,5,0,3,4.27137139986371,2.1536859999287117,6.979341999794997,25.0,0.01666788002740751,0.0,3,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/100,5,0,3,14.804024600107368,1.604270999905566,63.92122200031736,27.0,0.01666788002740751,0.0,3,3,3,64,64,64,64,64,64,64,64
GET,/api/recurso-detalhe/1000,7,0,9,7.257789714263448,2.032466999935423,12.620143999811262,29.0,0.023335032038370517,0.0,9,9,11,11,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/102,2,0,2.154868000161514,10.801773500134004,2.154868000161514,19.448679000106495,27.0,0.006667152010963005,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/api/recurso-detalhe/103,2,0,6.662625999979355,6.631090500150094,6.599555000320834,6.662625999979355,27.0,0.006667152010963005,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/104,2,0,2,16.219019999880402,1.9136749997414881,30.524365000019316,27.0,0.006667152010963005,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/recurso-detalhe/105,3,0,5,4.813921666785366,2.3219020004034974,6.880200000068726,27.0,0.010000728016444508,0.0,5,5,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/106,1,0,1.7446629999540164,1.7446629999540164,1.7446629999540164,1.7446629999540164,27.0,0.0033335760054815024,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/107,3,0,7,15.656590333189039,4.057452999859379,36.27319399993212,27.0,0.010000728016444508,0.0,7,7,36,36,36,36,36,36,36,36,36
GET,/api/recurso-detalhe/108,4,0,2,2.155232249947403,1.9119560001854552,2.6009309999608377,27.0,0.01333430402192601,0.0,2,2,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/109,1,0,19.898189999821625,19.898189999821625,19.898189999821625,19.898189999821625,27.0,0.0033335760054815024,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/recurso-detalhe/11,1,0,2.392646000316745,2.392646000316745,2.392646000316745,2.392646000316745,25.0,0.0033335760054815024,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/110,1,0,6.660603999989689,6.660603999989689,6.660603999989689,6.660603999989689,27.0,0.0033335760054815024,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/111,6,0,7,9.653750499865055,1.6480990002492035,18.405612999686127,27.0,0.020001456032889015,0.0,9,9,14,14,18,18,18,18,18,18,18
GET,/api/recurso-detalhe/112,2,0,2.2976709997237776,2.707361999682689,2.2976709997237776,3.1170529996416008,27.0,0.006667152010963005,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/113,2,0,10,15.397252999946431,9.81624499991085,20.978260999982012,27.0,0.006667152010963005,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/recurso-detalhe/114,6,0,6,6.557072333331841,1.9023649997507164,14.00015599983817,27.0,0.020001456032889015,0.0,7,7,7,7,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/115,3,0,11,9.518505000111569,6.0213440001462,11.299260999749094,27.0,0.010000728016444508,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/116,2,0,2,12.644062999925154,1.9769049999922572,23.31122099985805,27.0,0.006667152010963005,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/recurso-detalhe/117,4,0,7,7.708545750119811,2.115253000283701,11.626223000348546,27.0,0.01333430402192601,0.0,10,10,12,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/118,3,0,8,10.521988000012547,5.928418999701535,17.39805100032754,27.0,0.010000728016444508,0.0,8,8,17,17,17,17,17,17,17,17,17
GET,/api/recurso-detalhe/119,4,0,4,5.151292999926227,1.9665300001179276,7.8118110000104934,27.0,0.01333430402192601,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/12,6,0,3,9.164272333388604,1.8548840002949873,33.62460399966949,25.0,0.020001456032889015,0.0,5,5,9,9,34,34,34,34,34,34,34
GET,/api/recurso-detalhe/120,4,0,2.185202999953617,10.221179249924717,2.185202999953617,26.75792999980331,27.0,0.01333430402192601,0.0,10,10,27,27,27,27,27,27,27,27,27
GET,/api/recurso-detalhe/121,2,0,2,12.05898550006168,1.6837369998938811,22.43423400022948,27.0,0.006667152010963005,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/recurso-detalhe/122,1,0,6.4732740002000355,6.4732740002000355,6.4732740002000355,6.4732740002000355,27.0,0.0033335760054815024,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/123,3,0,5,10.022621666697281,1.7352079999000125,23.095423000086157,27.0,0.010000728016444508,0.0,5,5,23,23,23,23,23,23,23,23,23
GET,/api/recurso-detalhe/124,6,0,4,4.954330833318939,2.342748000046413,7.682017000206542,27.0,0.020001456032889015,0.0,7,7,7,7,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/125,3,0,2,1.9383246666014504,1.710466000076849,2.080527000089205,27.0,0.010000728016444508,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/126,2,0,2,2.0504784999957337,1.7532110000502144,2.347745999941253,27.0,0.006667152010963005,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/127,4,0,2,3.3695922501237874,1.5836040001886431,7.645522000075289,27.0,0.01333430402192601,0.0,2,2,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/128,2,0,2,2.7768165000452427,1.9165530002283049,3.6370799998621806,27.0,0.006667152010963005,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/recurso-detalhe/129,2,0,2.0022889998472237,6.791644000031738,2.0022889998472237,11.580999000216252,27.0,0.006667152010963005,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/13,1,0,2.6011840000137454,2.6011840000137454,2.6011840000137454,2.6011840000137454,25.0,0.0033335760054815024,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/130,1,0,2.3011530001895153,2.3011530001895153,2.3011530001895153,2.3011530001895153,27.0,0.0033335760054815024,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/131,5,0,7,7.131219599978067,2.004529999794613,11.15609399994355,27.0,0.01666788002740751,0.0,7,9,9,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/132,5,0,2,3.4423502001118322,1.8353320001551765,7.582049000120605,27.0,0.01666788002740751,0.0,2,3,3,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/133,2,0,2,4.5555034998869814,1.9182519999958458,7.192754999778117,27.0,0.006667152010963005,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/134,2,0,2.2064339996177296,2.3796539996965294,2.2064339996177296,2.552873999775329,27.0,0.006667152010963005,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/135,3,0,2,5.771823000031873,1.9388430000617518,12.99679300018397,27.0,0.010000728016444508,0.0,2,2,13,13,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/136,2,0,6.209350000062841,8.466212000030282,6.209350000062841,10.723073999997723,27.0,0.006667152010963005,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/137,3,0,7,6.6766779999246255,3.7165179996918596,8.938277000197559,27.0,0.010000728016444508,0.0,7,7,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/138,2,0,7.282224999926257,11.982880000005025,7.282224999926257,16.683535000083793,27.0,0.006667152010963005,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/recurso-detalhe/139,6,0,2,6.916551000207012,1.9691220004460774,23.992579000150727,27.0,0.020001456032889015,0.0,4,4,8,8,24,24,24,24,24,24,24
GET,/api/recurso-detalhe/140,1,0,1.924120999774459,1.924120999774459,1.924120999774459,1.924120999774459,27.0,0.0033335760054815024,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/141,3,0,2,3.501229333323863,1.8332380000174453,6.690447999972093,27.0,0.010000728016444508,0.0,2,2,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/142,1,0,8.024138000109815,8.024138000109815,8.024138000109815,8.024138000109815,27.0,0.0033335760054815024,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/143,4,0,7,7.953756999995676,2.134897999894747,11.873205000028975,27.0,0.01333430402192601,0.0,11,11,12,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/144,5,0,2,4.913982799916994,1.8627979998200317,10.747920000085287,27.0,0.01666788002740751,0.0,2,8,8,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/145,1,0,11.41559600000619,11.41559600000619,11.41559600000619,11.41559600000619,27.0,0.0033335760054815024,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/146,6,0,2,2.9663988335263034,1.4524440002787742,6.515365000268503,27.0,0.020001456032889015,0.0,3,3,3,3,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/147,3,0,2,2.057087666798907,1.9845330002681294,2.189958000144543,27.0,0.010000728016444508,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/148,1,0,7.658298000023933,7.658298000023933,7.658298000023933,7.658298000023933,27.0,0.0033335760054815024,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/149,1,0,26.876942999933817,26.876942999933817,26.876942999933817,26.876942999933817,27.0,0.0033335760054815024,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/recurso-detalhe/15,4,0,7,13.379222750018016,2.779087999897456,27.92191099979391,25.0,0.01333430402192601,0.0,16,16,28,28,28,28,28,28,28,28,28
GET,/api/recurso-detalhe/150,3,0,5,4.731238666712064,2.52995800019562,6.863829999929294,27.0,0.010000728016444508,0.0,5,5,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/151,3,0,2,3.63267700004144,1.9355530002940213,7.003660999998829,27.0,0.010000728016444508,0.0,2,2,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/152,4,0,7,7.6290209999569925,1.8106030001945328,12.502696999945329,27.0,0.01333430402192601,0.0,9,9,13,13,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/153,3,0,9,6.8107263333937835,2.416528000139806,9.392681999997876,27.0,0.010000728016444508,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/154,2,0,2.1634100003211643,4.4605945001876535,2.1634100003211643,6.757779000054143,27.0,0.006667152010963005,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/155,3,0,8,9.13261933328613,2.613083000142069,16.956715999640437,27.0,0.010000728016444508,0.0,8,8,17,17,17,17,17,17,17,17,17
