Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,949,0,4,6.715812520551299,1.4628090002588578,47.85398200056079,27.0,3.1634847381734073,0.0,4,7,8,9,14,24,30,40,48,48,48
GET,/api/recurso-detalhe/1,4,0,7,6.358987249996062,2.1585909998975694,8.522295000148006,23.0,0.013333971499150294,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/10,3,0,3,3.9748189998742114,2.3332789996857173,6.74994200016954,25.0,0.01000047862436272,0.0,3,3,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/100,4,0,3,5.27716850001525,2.230393999525404,9.121971000240592,27.0,0.013333971499150294,0.0,7,7,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/1000,4,0,2,3.59279074996266,1.9528110005921917,7.669359999454173,29.0,0.013333971499150294,0.0,3,3,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/102,5,0,2,12.961576999987301,1.7003409993776586,52.87870699976338,27.0,0.016667464373937867,0.0,2,7,7,53,53,53,53,53,53,53,53
GET,/api/recurso-detalhe/103,6,0,2.0076230002814555,4.701230500055924,2.0076230002814555,10.765476999949897,27.0,0.02000095724872544,0.0,3,3,7,7,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/104,7,0,4,7.0572287143347365,1.862332000200695,27.569329000471043,27.0,0.023334450123513012,0.0,4,5,7,7,28,28,28,28,28,28,28
GET,/api/recurso-detalhe/105,3,0,8,11.450100999960947,3.8549309992959024,22.40661700034252,27.0,0.01000047862436272,0.0,8,8,22,22,22,22,22,22,22,22,22
GET,/api/recurso-detalhe/106,5,0,8,8.732541799690807,4.201404999548686,14.448354999331059,27.0,0.016667464373937867,0.0,8,9,9,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/107,2,0,2.257799000290106,2.789590000247699,2.257799000290106,3.3213810002052924,27.0,0.006666985749575147,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/108,2,0,6.118123000305786,6.725266000103147,6.118123000305786,7.332408999900508,27.0,0.006666985749575147,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/109,5,0,3,5.387640399931115,1.7852490000223042,17.561147999913373,27.0,0.016667464373937867,0.0,3,3,3,18,18,18,18,18,18,18,18
GET,/api/recurso-detalhe/11,3,0,7,6.959571999990051,6.524338999952306,7.67755600008968,25.0,0.01000047862436272,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/110,1,0,7.615093000822526,7.615093000822526,7.615093000822526,7.615093000822526,27.0,0.0033334928747875735,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/111,3,0,2,9.011027333447904,1.7239690005226294,23.09658899957867,27.0,0.01000047862436272,0.0,2,2,23,23,23,23,23,23,23,23,23
GET,/api/recurso-detalhe/112,4,0,2.003161999709846,3.743733749843159,2.003161999709846,7.43413399959536,27.0,0.013333971499150294,0.0,3,3,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/113,5,0,8,9.259477400155447,2.0155530000920407,19.91557500059571,27.0,0.016667464373937867,0.0,8,10,10,20,20,20,20,20,20,20,20
GET,/api/recurso-detalhe/114,4,0,2,5.305531750082082,1.7843570003606146,9.933110999554629,27.0,0.013333971499150294,0.0,8,8,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/116,5,0,8,12.676108600135194,2.3211840007206774,23.033718000078807,27.0,0.016667464373937867,0.0,8,23,23,23,23,23,23,23,23,23,23
GET,/api/recurso-detalhe/117,3,0,3,12.201288666801702,1.9637120003608288,31.89243399992847,27.0,0.01000047862436272,0.0,3,3,32,32,32,32,32,32,32,32,32
GET,/api/recurso-detalhe/118,2,0,21,23.161197999797878,20.805522999580717,25.51687300001504,27.0,0.006666985749575147,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/api/recurso-detalhe/12,3,0,2.0246029998816084,3.596280000238039,2.0246029998816084,6.542884000737104,25.0,0.01000047862436272,0.0,2,2,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/120,3,0,8,8.037580666192904,2.3618079994776053,13.924096999289759,27.0,0.01000047862436272,0.0,8,8,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/121,3,0,8,11.279640999722082,2.1404919998531113,23.42526599932171,27.0,0.01000047862436272,0.0,8,8,23,23,23,23,23,23,23,23,23
GET,/api/recurso-detalhe/122,2,0,2.429412000310549,4.780162500082952,2.429412000310549,7.130912999855354,27.0,0.006666985749575147,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/123,4,0,7,6.355565499916338,1.8668600005184999,8.967628999926092,27.0,0.013333971499150294,0.0,7,7,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/124,5,0,6,5.4064968002421665,1.5968520001479192,10.124414000529214,27.0,0.016667464373937867,0.0,6,7,7,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/125,2,0,3,4.10008149992791,2.8495389997260645,5.350624000129756,27.0,0.006666985749575147,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/api/recurso-detalhe/126,5,0,4,5.758003200025996,1.9065559999944526,13.182446999962849,27.0,0.016667464373937867,0.0,4,7,7,13,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/127,6,0,5,11.268395666775177,2.067712000098254,32.03232099986053,27.0,0.02000095724872544,0.0,9,9,17,17,32,32,32,32,32,32,32
GET,/api/recurso-detalhe/128,4,0,4,4.785189499898479,3.0330350000440376,7.2631709999768646,27.0,0.013333971499150294,0.0,5,5,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/129,2,0,2,4.708241499884025,1.8858829998862348,7.530599999881815,27.0,0.006666985749575147,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/13,2,0,2.031377999628603,7.045100999675924,2.031377999628603,12.058823999723245,25.0,0.006666985749575147,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/130,4,0,2,3.5354770002413716,1.9606650002970127,6.687433000479359,27.0,0.013333971499150294,0.0,3,3,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/131,2,0,2.0997440005885437,4.250435000358266,2.0997440005885437,6.401126000127988,27.0,0.006666985749575147,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/132,9,0,7,8.673070777755735,1.5983120001692441,34.689434000028996,27.0,0.03000143587308816,0.0,7,8,8,9,35,35,35,35,35,35,35
GET,/api/recurso-detalhe/133,7,0,7,8.702934000081898,1.9716800006790436,27.46386299986625,27.0,0.023334450123513012,0.0,7,7,8,8,27,27,27,27,27,27,27
GET,/api/recurso-detalhe/134,1,0,3.4629439996933797,3.4629439996933797,3.4629439996933797,3.4629439996933797,27.0,0.0033334928747875735,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/135,2,0,2.0226020005793544,2.528264500142541,2.0226020005793544,3.033926999705727,27.0,0.006666985749575147,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/136,3,0,8,6.319821332908759,1.872419999926933,9.578362999491219,27.0,0.01000047862436272,0.0,8,8,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/137,4,0,8,10.171518749984898,7.1948249997149105,16.13755099970149,27.0,0.013333971499150294,0.0,9,9,16,16,16,16,16,16,16,16,16
GET,/api/recurso-detalhe/138,2,0,2,8.153906999723404,1.6405500000473694,14.667263999399438,27.0,0.006666985749575147,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/recurso-detalhe/139,4,0,7,17.347642750110026,1.9210450000173296,44.98601100021915,27.0,0.013333971499150294,0.0,15,15,45,45,45,45,45,45,45,45,45
GET,/api/recurso-detalhe/14,1,0,3.2646290001139278,3.2646290001139278,3.2646290001139278,3.2646290001139278,25.0,0.0033334928747875735,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/140,3,0,3,9.127253666823284,2.356353000322997,22.424492000027385,27.0,0.01000047862436272,0.0,3,3,22,22,22,22,22,22,22,22,22
GET,/api/recurso-detalhe/141,4,0,3,5.303496250007811,1.9626160001280368,8.25654799973563,27.0,0.013333971499150294,0.0,8,8,8,8,8,8,8,8,8,8,8
