Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recurso-detalhe/132,5,0,4,4.513479599972925,2.3419940000621864,7.607670999959737,27.0,0.01947206424858644,0.0,4,6,6,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/133,2,0,5,5.302404000076422,4.571211999973457,6.0335960001793865,27.0,0.007788825699434576,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/134,1,0,7.23523299984663,7.23523299984663,7.23523299984663,7.23523299984663,27.0,0.003894412849717288,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/136,1,0,1.8916410001565964,1.8916410001565964,1.8916410001565964,1.8916410001565964,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/137,2,0,2,2.224311999952988,1.8471619998763344,2.601462000029642,27.0,0.007788825699434576,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/138,2,0,2,4.772017500044967,1.8709220000800997,7.673113000009835,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/139,3,0,2,7.740825666663416,1.74063000008573,19.460433999938687,27.0,0.011683238549151865,0.0,2,2,19,19,19,19,19,19,19,19,19
GET,/api/recurso-detalhe/14,3,0,6,7.39101999996213,4.965168999888192,11.165693000066312,25.0,0.011683238549151865,0.0,6,6,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/140,2,0,2.0171670000763697,2.122485500080984,2.0171670000763697,2.227804000085598,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/141,2,0,2.381722000109221,4.481987500071227,2.381722000109221,6.5822530000332335,27.0,0.007788825699434576,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/142,3,0,2,3.357918666627787,1.5886109999883047,6.1738939998576825,27.0,0.011683238549151865,0.0,2,2,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/143,2,0,1.960417999953279,1.9402144999958182,1.9200110000383575,1.960417999953279,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/144,3,0,6,5.369108000043828,2.374142999997275,7.299965000129305,27.0,0.011683238549151865,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/145,4,0,10,15.511522000053901,6.9840030000705156,23.079998000184787,27.0,0.015577651398869153,0.0,22,22,23,23,23,23,23,23,23,23,23
GET,/api/recurso-detalhe/146,5,0,9,12.192954000011014,4.821068999945055,27.525984000021708,27.0,0.01947206424858644,0.0,9,13,13,28,28,28,28,28,28,28,28
GET,/api/recurso-detalhe/147,1,0,1.9135410000217234,1.9135410000217234,1.9135410000217234,1.9135410000217234,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/148,4,0,5,6.039194749973831,3.3587019997867174,8.489263999990726,27.0,0.015577651398869153,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/149,1,0,1.9177450001279794,1.9177450001279794,1.9177450001279794,1.9177450001279794,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/15,3,0,2,2.202203000024383,1.871404000212351,2.6502690000143048,25.0,0.011683238549151865,0.0,2,2,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/150,1,0,2.0054920000802667,2.0054920000802667,2.0054920000802667,2.0054920000802667,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/151,4,0,4,8.337213999936921,2.292593999982273,17.3721349999596,27.0,0.015577651398869153,0.0,10,10,17,17,17,17,17,17,17,17,17
GET,/api/recurso-detalhe/152,1,0,1.8001619998813112,1.8001619998813112,1.8001619998813112,1.8001619998813112,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/153,2,0,2.249439000024722,7.890141499956371,2.249439000024722,13.53084399988802,27.0,0.007788825699434576,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/154,1,0,7.1337459999085695,7.1337459999085695,7.1337459999085695,7.1337459999085695,27.0,0.003894412849717288,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/155,2,0,7.110777000207236,9.08614750005654,7.110777000207236,11.061517999905845,27.0,0.007788825699434576,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/156,2,0,2.0426300000053743,2.4582524999914313,2.0426300000053743,2.873874999977488,27.0,0.007788825699434576,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/158,4,0,2,4.626832000042214,1.8462200000612938,7.325932999947327,27.0,0.015577651398869153,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/16,4,0,2,6.176360000097247,1.9346080000559596,14.144968999971752,25.0,0.015577651398869153,0.0,7,7,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/160,4,0,8,13.455685750102475,2.1484930000497116,27.76759900007164,27.0,0.015577651398869153,0.0,16,16,28,28,28,28,28,28,28,28,28
