Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,918,0,4,5.014918308293913,1.415404998624581,27.01717799936887,27.0,3.060039481910856,0.0,4,7,7,8,9,11,13,15,27,27,27
GET,/api/recurso-detalhe/1,2,0,2.3926810008561006,4.970520500137354,2.3926810008561006,7.548359999418608,23.0,0.006666752683901646,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/10,2,0,2,5.129447499712114,1.6412360000686022,8.617658999355626,25.0,0.006666752683901646,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/100,5,0,3,3.206239400242339,1.7567480008437997,6.736446999639156,27.0,0.016666881709754115,0.0,3,3,3,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/1000,1,0,2.246976999231265,2.246976999231265,2.246976999231265,2.246976999231265,29.0,0.003333376341950823,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/101,2,0,5.207958000028157,18.27630899970245,5.207958000028157,31.344659999376745,27.0,0.006666752683901646,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/recurso-detalhe/102,4,0,2,3.147942999476072,1.798545999918133,6.127828999524354,27.0,0.013333505367803292,0.0,3,3,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/103,2,0,2,4.04052599969873,1.5088060008565662,6.572245998540893,27.0,0.006666752683901646,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/104,1,0,1.7277720016863896,1.7277720016863896,1.7277720016863896,1.7277720016863896,27.0,0.003333376341950823,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/105,3,0,8,6.527724999614293,1.7784379997465294,10.039279999546125,27.0,0.01000012902585247,0.0,8,8,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/106,4,0,2,5.328434250259306,1.9351579994690837,10.149063000426395,27.0,0.013333505367803292,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/109,3,0,4,3.8915136665309547,1.61975000082748,6.479825999122113,27.0,0.01000012902585247,0.0,4,4,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/11,1,0,2.3899549996713176,2.3899549996713176,2.3899549996713176,2.3899549996713176,25.0,0.003333376341950823,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/110,2,0,2.2944169995753327,5.153154999788967,2.2944169995753327,8.011893000002601,27.0,0.006666752683901646,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/111,2,0,2.44369499887398,6.704134499159409,2.44369499887398,10.964573999444838,27.0,0.006666752683901646,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/112,1,0,6.790898998588091,6.790898998588091,6.790898998588091,6.790898998588091,27.0,0.003333376341950823,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/113,3,0,7,5.609324000033666,1.9215560005250154,8.35193300008541,27.0,0.01000012902585247,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/114,2,0,2,2.4622844994155457,1.9971229994553141,2.9274459993757773,27.0,0.006666752683901646,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/115,1,0,7.183187999544316,7.183187999544316,7.183187999544316,7.183187999544316,27.0,0.003333376341950823,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/116,3,0,2,1.8961756662368618,1.7204889991262462,2.1652909999829717,27.0,0.01000012902585247,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/118,3,0,2.0598629998858087,2.990976333118548,2.0598629998858087,4.701500000010128,27.0,0.01000012902585247,0.0,2,2,5,5,5,5,5,5,5,5,5
