Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,3,0,3,6.634881333411613,2.362692000133393,14.141788999950222,27.0,1.1412230553882965,0.0,3,3,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/170,1,0,8.750185000280908,8.750185000280908,8.750185000280908,8.750185000280908,27.0,0.3804076851294322,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/266,1,0,5.595890000222425,5.595890000222425,5.595890000222425,5.595890000222425,27.0,0.3804076851294322,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/274,1,0,1.8592289998196065,1.8592289998196065,1.8592289998196065,1.8592289998196065,27.0,0.3804076851294322,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/326,1,0,1.6246229997705086,1.6246229997705086,1.6246229997705086,1.6246229997705086,27.0,0.3804076851294322,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/391,1,0,15.569735000099172,15.569735000099172,15.569735000099172,15.569735000099172,27.0,0.3804076851294322,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/recurso-detalhe/411,1,0,7.685883999329235,7.685883999329235,7.685883999329235,7.685883999329235,27.0,0.3804076851294322,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/418,1,0,6.567523999365221,6.567523999365221,6.567523999365221,6.567523999365221,27.0,0.3804076851294322,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/555,1,0,7.584422999570961,7.584422999570961,7.584422999570961,7.584422999570961,27.0,0.3804076851294322,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/564,1,0,8.164455999576603,8.164455999576603,8.164455999576603,8.164455999576603,27.0,0.3804076851294322,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/572,1,0,8.00527699993836,8.00527699993836,8.00527699993836,8.00527699993836,27.0,0.3804076851294322,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/590,1,0,7.767676999719697,7.767676999719697,7.767676999719697,7.767676999719697,27.0,0.3804076851294322,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/672,1,0,15.695000999585318,15.695000999585318,15.695000999585318,15.695000999585318,27.0,0.3804076851294322,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/recurso-detalhe/690,1,0,10.332836999623396,10.332836999623396,10.332836999623396,10.332836999623396,27.0,0.3804076851294322,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/744,1,0,7.834473999537295,7.834473999537295,7.834473999537295,7.834473999537295,27.0,0.3804076851294322,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/803,1,0,2.056951999293233,2.056951999293233,2.056951999293233,2.056951999293233,27.0,0.3804076851294322,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/817,1,0,9.915745000398601,9.915745000398601,9.915745000398601,9.915745000398601,27.0,0.3804076851294322,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/82,1,0,7.262934000209498,7.262934000209498,7.262934000209498,7.262934000209498,25.0,0.3804076851294322,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/925,1,0,13.952879000498797,13.952879000498797,13.952879000498797,13.952879000498797,27.0,0.3804076851294322,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/recurso-lento,17,0,13,10.855646941148306,1.9221820002712775,16.189175999897998,1477.0,6.466930647200347,0.0,13,16,16,16,16,16,16,16,16,16,16
GET,/api/status,10,0,11,11.430896799993207,6.622189999688999,15.635535000001255,15.0,3.804076851294322,0.0,11,12,14,15,16,16,16,16,16,16,16
,Aggregated,48,0,9,9.68719447909431,1.6246229997705086,16.189175999897998,538.0,18.259568886212744,0.0,10,12,14,15,16,16,16,16,16,16,16
