Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,1048,0,3,5.032695798672996,1.422735000232933,21.828646999892953,27.0,3.493519982391879,0.0,3,7,8,8,9,10,13,15,20,22,22
GET,/api/recurso-detalhe/1,1,0,1.6066289999798755,1.6066289999798755,1.6066289999798755,1.6066289999798755,23.0,0.0033335114335800373,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/10,2,0,6.74254200021096,6.680226999833394,6.617911999455828,6.74254200021096,25.0,0.0066670228671600745,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/100,4,0,4,5.781688749948444,1.7995119997067377,10.666051000043808,27.0,0.013334045734320149,0.0,7,7,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/1000,3,0,7,5.491841999476795,2.132739999979094,7.385620999230014,29.0,0.010000534300740112,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/101,2,0,2,4.665376500270213,1.5501520001635072,7.780601000376919,27.0,0.0066670228671600745,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/102,4,0,9,9.365758500280208,2.447605000270414,14.383370000359719,27.0,0.013334045734320149,0.0,12,12,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/103,1,0,2.929283000412397,2.929283000412397,2.929283000412397,2.929283000412397,27.0,0.0033335114335800373,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/104,1,0,2.809532999890507,2.809532999890507,2.809532999890507,2.809532999890507,27.0,0.0033335114335800373,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/105,2,0,7,7.705785999860382,6.746717000169156,8.664854999551608,27.0,0.0066670228671600745,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/106,1,0,1.847102999818162,1.847102999818162,1.847102999818162,1.847102999818162,27.0,0.0033335114335800373,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/107,3,0,2,4.356785333584412,1.8930050000562915,9.05506900016917,27.0,0.010000534300740112,0.0,2,2,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/108,2,0,2,4.712270500021987,1.7453250002290588,7.6792159998149145,27.0,0.0066670228671600745,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/109,3,0,2.1330849995138124,3.82198899994061,2.1330849995138124,7.1749130001990125,27.0,0.010000534300740112,0.0,2,2,7,7,7,7,7,7,7,7,7
